,ts_code,symbol,name,area,industry,list_date
383,000902.SZ,000902,新洋丰,湖北,农矿业,19990408
384,000903.SZ,000903,云内动力,云南,机械,19990415
385,000905.SZ,000905,厦门港务,福建,港口,19990429
386,000906.SZ,000906,浙商中拓,浙江,批发业,19990707
387,000908.SZ,000908,景峰医药,湖南,化学制药,19990203
388,000909.SZ,000909,数源科技,浙江,综合类,19990507
389,000910.SZ,000910,大亚圣象,江苏,家居用品,19990630
390,000911.SZ,000911,*ST南糖,广西,农矿业,19990527
391,000912.SZ,000912,泸天化,四川,农矿业,19990603
392,000913.SZ,000913,钱江摩托,浙江,摩托车,19990514
393,000915.SZ,000915,山大华特,山东,化学制药,19990609
394,000917.SZ,000917,电广传媒,湖南,影视音像,19990325
395,000918.SZ,000918,嘉凯城,浙江,地产,19990720
396,000919.SZ,000919,金陵药业,江苏,化学制药,19991118
397,000920.SZ,000920,南方汇通,贵州,环境保护,19990616
398,000921.SZ,000921,海信家电,广东,元器件,19990713
399,000922.SZ,000922,佳电股份,黑龙江,元器件,19990618
400,000923.SZ,000923,河北宣工,河北,农矿业,19990714
401,000925.SZ,000925,众合科技,浙江,机械,19990611
402,000926.SZ,000926,福星股份,湖北,地产,19990618
403,000927.SZ,000927,一汽夏利,天津,汽车服务,19990727
404,000928.SZ,000928,中钢国际,吉林,地产,19990312
405,000929.SZ,000929,兰州黄河,甘肃,啤酒,19990623
406,000930.SZ,000930,中粮生化,安徽,农矿业,19990712
407,000931.SZ,000931,中关村,北京,化学制药,19990712
408,000932.SZ,000932,华菱钢铁,湖南,普钢,19990803
409,000933.SZ,000933,神火股份,河南,煤炭开采,19990831
410,000935.SZ,000935,四川双马,四川,水泥,19990824
411,000936.SZ,000936,华西股份,江苏,化学制药,19990810
412,000937.SZ,000937,冀中能源,河北,煤炭开采,19990909
413,000938.SZ,000938,紫光股份,北京,软件服务,19991104
414,000948.SZ,000948,南天信息,云南,软件服务,19991014
415,000949.SZ,000949,新乡化学制药,河南,化学制药,19991021
416,000950.SZ,000950,重药控股,重庆,医药商业,19990916
417,000951.SZ,000951,中国重汽,山东,汽车服务,19991125
418,000952.SZ,000952,广济药业,湖北,化学制药,19991112
419,000953.SZ,000953,*ST河化,广西,农矿业,19991202
420,000955.SZ,000955,欣龙控股,海南,农矿业,19991209
421,000957.SZ,000957,中通客车,山东,汽车服务,20000113
422,000958.SZ,000958,东方能源,河北,火力发电,19991223
423,000959.SZ,000959,首钢股份,北京,普钢,19991216
424,000960.SZ,000960,锡业股份,云南,小金属,20000221
425,000961.SZ,000961,中南建设,江苏,地产,20000301
426,000962.SZ,000962,东方钽业,宁夏,小金属,20000120
427,000963.SZ,000963,华东医药,浙江,化学制药,20000127
428,000965.SZ,000965,天保基建,天津,地产,20000406
429,000966.SZ,000966,长源电力,湖北,火力发电,20000316
430,000967.SZ,000967,盈峰环境,浙江,环境保护,20000330
431,000968.SZ,000968,蓝焰控股,山西,煤炭开采,20000622
432,000969.SZ,000969,安泰科技,北京,农矿业,20000529
433,000970.SZ,000970,中科三环,北京,元器件,20000420
434,000971.SZ,000971,*ST高升,湖北,软件服务,20000427
435,000972.SZ,000972,ST中基,新疆,农矿业,20000926
436,000973.SZ,000973,佛塑科技,广东,塑料,20000525
437,000975.SZ,000975,银泰资源,内蒙,农矿业,20000608
438,000976.SZ,000976,华铁股份,广东,运输设备,20000601
439,000977.SZ,000977,浪潮信息,山东,软件服务,20000608
440,000978.SZ,000978,桂林旅游,广西,旅游景点,20000518
441,000980.SZ,000980,众泰汽车,安徽,汽车服务,20000616
